"Number of Crimes by Offense Type"
"Current date: 10/6/2025 8:58:20 PM (Eastern Daylight Time)"
"Data source: MA_SS, Offense Data"
"Measures: Number of Crimes"
"Incident Date: 2016"
"Offense Type","All Offense Types","Crimes Against Person","Murder and Nonnegligent Manslaughter","Negligent Manslaughter","Justifiable Homicide","Kidnapping/Abduction","All Rape","Rape","Sodomy","Sexual Assault With An Object","Criminal Sexual Contact","Incest","Statutory Rape","Aggravated Assault","Simple Assault","Intimidation","Human Trafficking, Commercial Sex Acts","Human Trafficking, Involuntary Servitude","Crimes Against Property","Arson","Bribery","Burglary/Breaking & Entering","Counterfeiting/Forgery","Destruction/Damage/Vandalism of Property","Embezzlement","Extortion/Blackmail","False Pretenses/Swindle/Confidence Game","Credit Card/Automatic Teller Fraud","Impersonation","Welfare Fraud","Wire Fraud","Identity Theft","Hacking/Computer Invasion","Robbery","Pocket-picking","Purse-snatching","Shoplifting","Theft From Building","Theft From Coin Operated Machine or Device","Theft From Motor Vehicle","Theft of Motor Vehicle Parts/Accessories","All Other Larceny","Motor Vehicle Theft","Stolen Property Offenses","Crimes Against Society","Drug/Narcotic Violations","Drug Equipment Violations","Betting/Wagering","Operating/Promoting/Assisting Gambling","Gambling Equipment Violations","Sports Tampering","Pornography/Obscene Material","Prostitution","Assisting or Promoting Prostitution","Purchasing Prostitution","Weapon Law Violations","Animal Cruelty","Missing",
"Jurisdiction by Geography"
"Barnstable","2,252","684","1","","","5","16","16","","","23","1","5","168","389","76","","","1,308","2","","136","50","249","8","1","115","49","20","","1","4","","15","","2","166","126","1","94","16","186","25","42","260","204","","","","","","7","3","","","46","",""
"Barnstable State Police","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barnstable State Police Middleboro","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bourne","889","208","","","","","4","4","","","5","","","39","122","38","","","567","1","","84","17","176","3","1","32","18","33","","","","","6","1","2","40","15","","9","","100","15","14","114","102","","","","","","1","","","","11","",""
"Brewster","233","48","","","","2","2","1","1","","1","","1","15","19","8","","","169","1","","27","7","36","","","14","5","3","","","","","","","","4","21","","","","49","1","1","16","9","","","","","","2","","","","5","",""
"Cape Cod Community College","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Chatham","182","44","","","","","2","","2","","","2","","4","32","4","","","131","","","15","5","31","","","9","2","4","","","","","1","","1","12","7","","2","","41","1","","7","6","","","","","","","","","","1","",""
"Dennis","765","189","","","","","10","7","2","1","3","2","1","47","105","21","","","525","","","77","9","92","1","","32","5","11","","","","","1","1","3","18","48","","55","","152","16","4","51","42","","","","","","2","1","1","","5","",""
"Eastham","143","31","","","","","1","1","","","","","","7","19","4","","","103","","","9","1","26","1","1","9","3","1","","","","","1","","","","6","","3","","40","2","","9","6","1","","","","","1","","","","1","",""
"Falmouth","1,983","578","","","","12","7","7","","","16","","2","109","309","123","","","1,204","2","","269","28","343","3","1","78","21","60","","","","","4","6","6","70","52","","","","194","39","28","201","174","","","","","","4","1","","","22","",""
"Harwich","404","109","","","","1","4","4","","","1","","2","20","72","9","","","279","","","50","5","80","3","","13","7","8","","","","","1","1","","3","11","","","","86","8","3","16","12","","","","","","","","","","4","",""
"Mashpee","411","94","","","","","6","2","4","","","","4","26","35","23","","","280","4","","26","2","87","","","13","8","5","","1","","","2","1","","20","12","","11","","78","5","5","37","26","","","","","","1","","","","10","",""
"MBTA - Barnstable County","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Orleans","220","35","","","","1","1","1","","","","","2","1","24","6","","","180","","","14","1","44","2","","9","1","7","","","","","","","","7","11","","","","82","2","","5","5","","","","","","","","","","","",""
"Provincetown","248","78","","","","","3","2","1","","2","","1","17","51","4","","","160","","","20","2","33","","","13","1","3","","","","","","1","1","7","12","","1","","62","4","","10","6","","","","","","","1","","","3","",""
"Sandwich","453","109","","","","","3","3","","","1","1","1","30","46","27","","","311","","","29","10","95","1","","17","4","22","","","","","","3","","13","14","","26","","63","6","8","33","28","","","","","","","","","","5","",""
"Truro","79","23","","","","","","","","","1","","","6","15","1","","","49","1","","3","","11","","1","5","4","4","","","","","","","","","2","","","","15","2","1","7","6","","","","","","","","","","1","",""
"Wellfleet","76","16","","","","","2","","2","","","","","1","9","4","","","57","","","6","","19","","","3","","1","","","","","","","","3","2","","","","18","3","2","3","3","","","","","","","","","","","",""
"Yarmouth","1,309","332","","","","2","13","13","","","5","","3","185","78","43","","3","856","2","","102","19","166","2","2","69","27","15","","","","","4","3","","49","57","","107","","195","20","17","121","99","","","","","","1","3","1","","17","",""
"Adams","292","91","","","","","4","3","1","","8","1","8","19","43","8","","","196","1","","31","5","44","","","10","2","7","","","","","1","","","5","27","","19","","39","3","2","5","3","","","","","","1","1","","","","",""
"Alford","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Becket","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Berkshire State Police","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Berkshire State Police Northampton","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Berkshire State Police Weston","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cheshire","23","7","","","","","1","","1","","","","1","","5","","","","16","","","3","1","5","","","1","","1","","","","","","","","","2","","","","2","1","","","","","","","","","","","","","","",""
"Clarksburg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dalton","164","37","","","","","1","1","","","","","5","11","15","5","","","119","1","","17","3","23","","","7","5","9","","","","","","","2","1","17","","7","1","24","2","","8","6","","","","","","1","","","","1","",""
"Egremont","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Florida","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Great Barrington","168","49","","","","","4","4","","","3","","1","7","30","4","","","106","","","17","1","20","2","","2","1","4","","","","","","","","14","7","","8","","25","1","4","13","11","","","","","","1","","","","1","",""
"Hancock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hinsdale","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lanesboro","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
"Lee","213","41","","","","","3","2","1","","","","","10","25","3","","","167","","","18","2","33","1","1","9","4","3","","","","","","","2","19","19","","13","","34","4","5","5","5","","","","","","","","","","","",""
"Lenox","169","30","","","","","1","1","","","3","1","","7","14","4","","","130","","","11","4","18","2","","4","2","","","","","","","","1","12","11","","15","","40","2","8","9","6","","","","","","","","","","3","",""
"MA College of Liberal Arts","63","7","","","","","1","1","","","","","","3","3","","","","51","","","5","","18","","","2","1","","","","","","","","","3","6","","1","","14","","1","5","3","","","","","","","","","","2","",""
"MBTA - Berkshire County","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Monterey","7","2","","","","","","","","","","","","1","1","","","","5","","","2","","1","","","1","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","",""
"Mount Washington","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"New Ashford","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"New Marlboro","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"North Adams","1,310","463","","","","3","20","12","8","","","","4","153","208","75","","","759","1","","129","16","210","1","","44","4","13","","","","","9","2","3","72","35","","1","","183","23","13","88","59","","","1","","","10","","1","","17","",""
"Otis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Peru","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pittsfield","2,860","952","3","","","6","37","30","7","","21","","20","264","487","114","","","1,740","9","","374","32","429","4","1","75","14","43","","","","","39","12","10","143","100","","106","5","285","33","26","168","78","","","","","","12","","","","78","",""
"Richmond","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sandisfield","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
