City,All Offense Types,Crimes Against Person,Murder and Nonnegligent Manslaughter,Negligent Manslaughter,Justifiable Homicide,Kidnapping/Abduction,All Rape,Rape,Sodomy,Sexual Assault With An Object,Criminal Sexual Contact,Incest,Statutory Rape,Aggravated Assault,Simple Assault,Intimidation,"Human Trafficking, Commercial Sex Acts","Human Trafficking, Involuntary Servitude",Crimes Against Property,Arson,Bribery,Burglary/Breaking & Entering,Counterfeiting/Forgery,Destruction/Damage/Vandalism of Property,Embezzlement,Extortion/Blackmail,False Pretenses/Swindle/Confidence Game,Credit Card/Automatic Teller Fraud,Impersonation,Welfare Fraud,Wire Fraud,Identity Theft,Hacking/Computer Invasion,Robbery,Pocket-picking,Purse-snatching,Shoplifting,Theft From Building,Theft From Coin Operated Machine or Device,Theft From Motor Vehicle,Theft of Motor Vehicle Parts/Accessories,All Other Larceny,Motor Vehicle Theft,Stolen Property Offenses,Crimes Against Society,Drug/Narcotic Violations,Drug Equipment Violations,Betting/Wagering,Operating/Promoting/Assisting Gambling,Gambling Equipment Violations,Sports Tampering,Pornography/Obscene Material,Prostitution,Assisting or Promoting Prostitution,Purchasing Prostitution,Weapon Law Violations,Animal Cruelty,Missing,Unnamed: 59,Year
Jurisdiction by Geography,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
Barnstable,"1,634",614,1.0,,,10.0,34.0,29.0,1.0,4.0,15.0,,,170,306,78,,,862,6.0,,70,36.0,179,14.0,7.0,31,38.0,2.0,,71.0,36.0,5.0,9.0,,3.0,117,36,,60,14.0,77,38,13.0,158,100,,,,,,13.0,1.0,,9.0,35.0,,,,2024
Barnstable State Police,19,5,,1.0,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,11,,,,,,,,,,3.0,,,,2024
Barnstable State Police Middleboro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
Bourne,848,343,,,,1.0,11.0,7.0,1.0,3.0,22.0,,1.0,47,183,78,,,460,2.0,,44,16.0,83,2.0,9.0,66,3.0,56.0,,,2.0,,,1.0,,36,22,,5,2.0,95,15,1.0,45,21,,,,,,8.0,2.0,1.0,,13.0,,,,2024
Brewster,105,37,,,,,4.0,4.0,,,,,,9,17,7,,,62,,,7,1.0,18,,,9,3.0,2.0,,,,,,1.0,,,,,2,1.0,13,3,2.0,6,2,1.0,,,,,3.0,,,,,,,,2024
Cape Cod Community College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
Chatham,157,38,,,,,1.0,,1.0,,3.0,,1.0,11,16,6,,,110,,,8,6.0,37,,1.0,20,2.0,7.0,,,,,,,,3,2,,1,,21,1,1.0,9,2,,,,,,3.0,,,,4.0,,,,2024
Dennis,433,163,,,,1.0,3.0,3.0,,,7.0,,4.0,33,101,14,,,254,3.0,,28,6.0,62,,,32,1.0,20.0,,,2.0,,,,1.0,12,9,,7,1.0,58,7,5.0,16,10,,,,,,,,,,6.0,,,,2024
Eastham,119,39,,,,,1.0,1.0,,,2.0,,,9,13,14,,,76,,,3,,9,,,11,1.0,4.0,,,,,,,,3,,,5,,36,3,1.0,4,1,,,,,,,,,,2.0,1.0,,,2024
