"Number of Crimes by Offense Type"
"Current date: 10/6/2025 8:54:32 PM (Eastern Daylight Time)"
"Data source: MA_SS, Offense Data"
"Measures: Number of Crimes"
"Incident Date: 2021"
"Offense Type","All Offense Types","Crimes Against Person","Murder and Nonnegligent Manslaughter","Negligent Manslaughter","Justifiable Homicide","Kidnapping/Abduction","All Rape","Rape","Sodomy","Sexual Assault With An Object","Criminal Sexual Contact","Incest","Statutory Rape","Aggravated Assault","Simple Assault","Intimidation","Human Trafficking, Commercial Sex Acts","Human Trafficking, Involuntary Servitude","Crimes Against Property","Arson","Bribery","Burglary/Breaking & Entering","Counterfeiting/Forgery","Destruction/Damage/Vandalism of Property","Embezzlement","Extortion/Blackmail","False Pretenses/Swindle/Confidence Game","Credit Card/Automatic Teller Fraud","Impersonation","Welfare Fraud","Wire Fraud","Identity Theft","Hacking/Computer Invasion","Robbery","Pocket-picking","Purse-snatching","Shoplifting","Theft From Building","Theft From Coin Operated Machine or Device","Theft From Motor Vehicle","Theft of Motor Vehicle Parts/Accessories","All Other Larceny","Motor Vehicle Theft","Stolen Property Offenses","Crimes Against Society","Drug/Narcotic Violations","Drug Equipment Violations","Betting/Wagering","Operating/Promoting/Assisting Gambling","Gambling Equipment Violations","Sports Tampering","Pornography/Obscene Material","Prostitution","Assisting or Promoting Prostitution","Purchasing Prostitution","Weapon Law Violations","Animal Cruelty","Missing",
"Jurisdiction by Geography"
"Barnstable","1,639","679","1","1","","8","32","21","6","5","29","1","3","155","309","139","1","","817","3","","66","38","208","8","5","46","36","3","","71","43","","11","3","","62","53","","36","20","78","20","7","143","97","","","","","","7","1","","","34","4",""
"Barnstable State Police","40","8","","","","","1","1","","","","","","1","6","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","31","22","","","","","","","","","","9","",""
"Barnstable State Police Middleboro","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bourne","697","235","","","","","6","5","","1","8","1","3","38","130","49","","","397","","","44","14","89","","1","50","6","36","","","","2","2","","","21","13","","12","1","78","19","9","65","52","","","","","","6","","","","7","",""
"Brewster","175","38","","","","1","3","3","","","1","","1","6","16","9","1","","128","","","16","12","23","","","20","4","2","","","1","","3","","","1","8","","2","1","30","1","4","9","1","","","","","","4","","","","4","",""
"Cape Cod Community College","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Chatham","134","32","","","","","2","1","1","","","","1","3","16","10","","","100","","","6","3","30","","","7","1","3","","","1","","","","","6","4","","2","1","35","1","","2","","","","","","","","","","","2","",""
"Dennis","596","225","","","","3","16","10","6","","3","","7","47","124","24","1","","331","1","","43","14","52","","1","42","4","24","","1","","","1","2","3","10","22","","10","","93","5","3","40","25","","","","","","5","","","","10","",""
"Eastham","164","41","","","","","2","2","","","2","","1","12","15","9","","","110","","2","5","2","18","","","8","","7","","","","","","1","","1","4","","16","","42","3","1","13","6","","","","","","2","","","","5","",""
"Falmouth","1,090","405","1","","","7","13","11","1","1","22","","1","84","218","59","","","590","3","","70","6","173","3","1","53","5","63","","","","","6","1","1","12","31","","","","137","18","7","95","66","","","","","","9","","","","20","",""
"Harwich","290","96","","","","","3","3","","","1","","4","16","64","8","","","190","1","","23","5","55","","","16","5","14","","","","","","","","9","","","","","54","5","3","4","1","","","","","","1","","","","2","",""
"Mashpee","370","114","","","","","9","9","","","1","","11","36","36","21","","","219","","","11","5","59","2","3","39","4","19","","","","","1","2","","4","4","","4","","49","9","4","37","22","","","","","","1","1","","","13","",""
"MBTA - Barnstable County","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Orleans","198","49","","","","","3","3","","","","","1","11","30","4","","","140","","","4","6","41","1","3","12","2","8","","1","1","","1","","","8","2","","14","1","31","2","2","9","7","","","","","","","","","","2","",""
"Provincetown","157","48","","","","","5","1","4","","1","","","10","25","7","","","95","2","","10","1","24","","","9","1","4","","1","","","","1","","7","3","","3","","24","3","2","14","11","","","","","","","","","","3","",""
"Sandwich","409","127","","","","","8","2","1","5","","","1","33","66","19","","","232","1","","7","9","64","","2","34","2","45","","","1","","1","","","7","6","","3","","40","7","3","50","44","","","","","","1","","","","5","",""
"Truro","58","19","","","","","1","","1","","2","","","3","12","1","","","32","","","4","","15","","","3","","1","","","","1","","","","","3","","","","5","","","7","5","","","","","","","","","","2","",""
"Wellfleet","57","19","","","","","2","1","1","","","1","2","4","10","","","","35","","","1","1","13","","","5","","","","","","","","","1","1","2","","2","","8","1","","3","2","","","","","","1","","","","","",""
"Yarmouth","791","266","","","","2","16","14","2","","8","","13","57","116","52","2","","462","2","","42","9","120","","2","50","3","26","","","1","","6","","1","18","23","","29","","115","8","7","63","43","","","","","","4","1","","","15","",""
"Adams","328","113","1","","","","6","6","","","9","2","4","40","44","7","","","202","","","19","4","71","","","21","1","9","","","1","","1","2","","9","6","","7","","44","5","2","13","6","","","","","","4","","","","3","",""
"Alford","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Becket","28","7","","","","","1","1","","","","","","1","4","1","","","15","","","2","","5","","","1","","3","","","1","","","","","","","","","","3","","","6","5","","","","","","","","","","","1",""
"Berkshire State Police","69","25","1","1","","2","","","","","","","","1","19","1","","","21","","","7","","1","","","","","","","","","","","","","","1","","2","2","5","3","","23","17","1","","","","","1","","","","4","",""
"Berkshire State Police Northampton","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Berkshire State Police Weston","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cheshire","14","5","","","","","","","","","","","","","3","2","","","9","","","1","","2","","","2","1","1","","","","","","","","1","","","","","","","1","","","","","","","","","","","","","",""
"Clarksburg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dalton","141","54","","","","1","2","1","1","","1","","2","16","25","7","","","75","1","","10","2","10","1","1","14","2","12","","","2","","1","","","","5","","3","","7","3","1","12","5","","","","","","4","","","","3","",""
"Egremont","27","8","","","","","","","","","","","","3","2","3","","","15","","","","1","3","","","1","","1","","","","","","","","","2","","","","5","","2","4","4","","","","","","","","","","","",""
"Florida","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Great Barrington","180","57","","","","","5","5","","","","","4","11","29","8","","","108","1","","8","2","27","2","","10","2","6","","","","","1","","","12","10","","4","","22","1","","15","9","","","","","","1","","","","5","",""
"Hancock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hinsdale","18","9","","","","","","","","","","","","6","3","","","","2","","","1","","","","","","","","","","","","","","","","","","","","1","","","7","4","","","","","","","","","","3","",""
"Lanesboro","42","13","","","","","2","2","","","1","","","4","5","1","","","24","","","2","1","7","","","1","2","","","","","","","","","","2","","1","","7","1","","5","2","","","","","","","","","","3","",""
"Lee","202","45","","","","","1","1","","","2","1","2","5","24","10","","","144","","","16","1","27","","","16","1","17","","","","","1","","","19","5","","7","","31","2","1","13","9","","","","","","","1","","","3","",""
"Lenox","125","20","","","","","1","1","","","2","","","2","14","1","","","103","","","9","4","15","1","","4","","9","1","","","","2","1","","15","7","","13","","18","3","1","2","2","","","","","","","","","","","",""
"MA College of Liberal Arts","21","7","","","","","1","1","","","","","","","","6","","","13","","","","1","8","","","","","","","","","","","","","","2","","","","2","","","1","1","","","","","","","","","","","",""
"MBTA - Berkshire County","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Monterey","15","4","","","","","","","","","1","","","1","1","1","","","11","","","","","1","","","2","1","1","","","","","","","","","1","","","","3","2","","","","","","","","","","","","","","",""
"Mount Washington","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"New Ashford","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"New Marlboro","8","","","","","","","","","","","","","","","","","","6","","","","","1","","","","","","","","","","","","","","","","1","","2","2","","2","","","","","","","","","","","1","1",""
"North Adams","1,056","379","","","","7","7","5","2","","2","1","4","121","174","63","","","606","","","63","6","195","","","52","4","14","","1","","","10","","","85","33","","13","","105","17","8","71","50","","","","","","6","1","1","","11","2",""
"Otis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Peru","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pittsfield","2,014","524","1","","","7","36","30","6","","7","3","23","212","164","71","","","1,322","10","1","232","24","392","2","","72","15","75","","","2","3","28","","2","67","24","","79","22","189","67","16","168","83","","","","","","7","","","","77","1",""
