"Number of Crimes by Offense Type"
"Current date: 10/6/2025 8:55:01 PM (Eastern Daylight Time)"
"Data source: MA_SS, Offense Data"
"Measures: Number of Crimes"
"Incident Date: 2020"
"Offense Type","All Offense Types","Crimes Against Person","Murder and Nonnegligent Manslaughter","Negligent Manslaughter","Justifiable Homicide","Kidnapping/Abduction","All Rape","Rape","Sodomy","Sexual Assault With An Object","Criminal Sexual Contact","Incest","Statutory Rape","Aggravated Assault","Simple Assault","Intimidation","Human Trafficking, Commercial Sex Acts","Human Trafficking, Involuntary Servitude","Crimes Against Property","Arson","Bribery","Burglary/Breaking & Entering","Counterfeiting/Forgery","Destruction/Damage/Vandalism of Property","Embezzlement","Extortion/Blackmail","False Pretenses/Swindle/Confidence Game","Credit Card/Automatic Teller Fraud","Impersonation","Welfare Fraud","Wire Fraud","Identity Theft","Hacking/Computer Invasion","Robbery","Pocket-picking","Purse-snatching","Shoplifting","Theft From Building","Theft From Coin Operated Machine or Device","Theft From Motor Vehicle","Theft of Motor Vehicle Parts/Accessories","All Other Larceny","Motor Vehicle Theft","Stolen Property Offenses","Crimes Against Society","Drug/Narcotic Violations","Drug Equipment Violations","Betting/Wagering","Operating/Promoting/Assisting Gambling","Gambling Equipment Violations","Sports Tampering","Pornography/Obscene Material","Prostitution","Assisting or Promoting Prostitution","Purchasing Prostitution","Weapon Law Violations","Animal Cruelty","Missing",
"Jurisdiction by Geography"
"Barnstable","1,831","612","","","","5","31","18","7","6","16","1","3","146","346","64","","","1,072","9","","55","23","227","12","3","44","40","10","2","58","258","1","12","6","1","56","65","","38","22","103","17","10","147","113","","","","","","6","","","","28","",""
"Barnstable State Police","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barnstable State Police Middleboro","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bourne","690","233","","","","1","7","5","","2","11","","3","35","133","43","","","407","1","","47","18","94","","2","40","3","39","","","","","2","","","29","20","","7","","94","9","2","50","37","","","","","","3","1","","","9","",""
"Brewster","140","42","","","","","3","2","1","","1","1","","18","13","6","","","91","","","9","1","25","","1","13","1","7","","","","","1","","","","5","","3","","21","2","2","7","3","","","","","","3","","","","1","",""
"Cape Cod Community College","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Chatham","151","40","","","","","1","1","","","","","","9","23","7","","","110","2","","13","","40","","","11","","3","","","","","","","","6","2","","2","","31","","","1","","","","","","","1","","","","","",""
"Dennis","576","195","","","","1","8","6","2","","1","","7","42","114","22","","","350","2","1","36","10","79","1","","34","2","34","","2","3","","1","1","2","9","15","","17","","89","8","4","31","22","1","","","","","2","1","","","5","",""
"Eastham","117","36","","","","","1","1","","","1","","3","10","15","6","","","74","","","3","1","21","","2","14","","14","","","","","","","","","","","1","1","16","1","","7","2","","","","","","3","","","","2","",""
"Falmouth","1,222","332","","","","1","10","10","","","9","","3","76","177","56","","","818","4","","119","12","220","3","3","57","2","149","","","","","4","3","4","31","54","","","","132","13","8","72","49","","","1","","","7","2","","","13","",""
"Harwich","271","85","","","","","5","5","","","1","","1","21","54","3","","","183","","","18","3","60","1","","19","1","20","","","","","","","","6","5","","","","44","4","2","3","1","","","","","","","","","","2","",""
"Mashpee","408","116","3","","","2","4","3","1","","","1","3","22","52","29","","","259","1","","10","5","73","3","","27","3","51","","","","","1","1","","16","5","","6","","45","6","6","33","26","","","","","","2","","","","5","",""
"MBTA - Barnstable County","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Orleans","198","39","","","","","4","2","2","","","","2","8","23","2","","","151","","","9","1","36","2","","18","2","25","","","1","","","","","5","","","4","2","40","1","5","8","4","","","1","","","2","","","","1","",""
"Provincetown","182","51","","","","","9","3","6","","","","","11","25","6","","","119","","","7","6","40","","","18","1","4","","","","","2","","","8","5","","3","","23","1","1","12","10","","","","","","","","","","2","",""
"Sandwich","657","135","","","","","1","1","","","1","2","3","23","77","28","","","459","","","5","9","65","","1","43","1","266","","","","","1","","","5","7","","4","","47","1","4","63","51","2","","","","","1","","","","9","",""
"Truro","43","17","","","","","","","","","","","1","4","7","5","","","24","","","1","1","4","","","7","","3","","","","","","","","","1","","2","","5","","","2","","","","","","","","","","","2","",""
"Wellfleet","63","23","","","","","1","1","","","2","2","","6","10","2","","","38","","","1","2","15","","","8","","2","","","","","","","","1","2","","","","6","","1","2","1","","","","","","","","","","1","",""
"Yarmouth","932","280","","","","2","9","5","2","2","4","","6","75","135","43","5","1","596","2","","50","15","111","3","2","72","10","137","","","","","4","","1","19","17","","23","","116","8","6","56","38","","","1","","","3","","","","14","",""
"Adams","310","88","","","","1","6","6","","","9","","4","7","48","13","","","201","2","","16","5","63","","1","16","1","10","","","","","1","1","1","7","18","","13","","36","7","3","21","9","","","","","","4","","","","8","",""
"Alford","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Becket","33","18","","","","","","","","","","","3","5","9","1","","","14","","","","1","3","","","","","2","","","","","","","","","1","","2","","2","2","1","1","","","","","","","","","","","1","",""
"Berkshire State Police","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Berkshire State Police Northampton","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
